Title,DOI,Citations
Web Information Mining and Decision Support Platform for the Modern Service Industry,10.3115/v1/P14-5017,0
Structured Belief Propagation for NLP,10.3115/v1/P14-6006,0
WELT: Using Graphics Generation in Linguistic Fieldwork,10.3115/v1/P14-5009,0
Predicting the relevance of distributional semantic similarity with contextual information,10.3115/v1/P14-1045,0
Understanding Relation Temporality of Entities,10.3115/v1/P14-2137,0
Online Learning in Tensor Space,10.3115/v1/P14-1063,0
Shallow Analysis Based Assessment of Syntactic Complexity for Automated Speech Scoring,10.3115/v1/P14-1123,0
Particle Filter Rejuvenation and Latent Dirichlet Allocation,10.3115/v1/P14-2073,0
Improving the Recognizability of Syntactic Relations Using Contextualized Examples,10.3115/v1/P14-2045,0
Sliding Alignment Windows for Real-Time Crowd Captioning,10.3115/v1/P14-2039,0
Faster Phrase-Based Decoding by Refining Feature State,10.3115/v1/P14-2022,0
Automatic Detection of Multilingual Dictionaries on the Web,10.3115/v1/P14-2016,0
A Composite Kernel Approach for Dialog Topic Tracking with Structured Domain Knowledge from Wikipedia,10.3115/v1/P14-2004,0
Applying Grammar Induction to Text Mining,10.3115/v1/P14-2116,0
Can You Repeat That? Using Word Repetition to Improve Spoken Term Detection,10.3115/v1/P14-1124,0
Transforming trees into hedges and parsing with “hedgebank” grammars,10.3115/v1/P14-2129,0
"Semi-Automatic Development of KurdNet, The Kurdish WordNet",10.3115/v1/P14-3013,0
Observational Initialization of Type-Supervised Taggers,10.3115/v1/P14-2132,0
Active Learning with Efficient Feature Weighting Methods for Improving Data Quality and Classification Accuracy,10.3115/v1/P14-1104,0
Bootstrapping into Filler-Gap: An Acquisition Story,10.3115/v1/P14-1102,0
Analyzing Positions and Topics in Political Discussions of the German Bundestag,10.3115/v1/P14-3004,0
A Mapping-Based Approach for General Formal Human Computer Interaction Using Natural Language,10.3115/v1/P14-3005,0
Learning Grammar with Explicit Annotations for Subordinating Conjunctions,10.3115/v1/P14-3007,0
Multi-document summarization using distortion-rate ratio,10.3115/v1/P14-3009,0
Disambiguating prepositional phrase attachment sites with sense information captured in contextualized distributional data,10.3115/v1/P14-3010,0
Syntactic Processing Using Global Discriminative Learning and Beam-Search Decoding,10.3115/v1/P14-6008,0
